player_hand_value,dealer_visible_card_value,player_has_ace,decision,outcome
20,8,0,stand,Player Wins
18,10,0,stand,Player Wins
14,5,0,hit,lose
19,10,0,stand,Dealer Wins
20,2,0,stand,Tie
14,6,0,hit,lose
19,7,0,stand,Dealer Wins
13,10,1,hit,lose
18,10,0,stand,Dealer Wins
13,11,0,hit,lose
12,4,0,hit,lose
20,10,0,stand,Tie
20,2,1,stand,Dealer Wins
15,2,0,stand,Dealer Wins
10,9,0,stand,Dealer Wins
13,10,0,stand,Player Wins
12,8,0,stand,Dealer Wins
20,4,0,stand,Player Wins
17,4,0,stand,Dealer Wins
12,9,0,stand,Player Wins
18,8,0,stand,Dealer Wins
20,2,1,stand,Player Wins
11,10,0,stand,Player Wins
12,4,0,stand,Dealer Wins
9,6,0,stand,Player Wins
16,10,1,stand,Dealer Wins
8,10,0,stand,Dealer Wins
5,10,0,stand,Dealer Wins
17,5,0,stand,Tie
20,3,0,stand,Player Wins
20,7,0,stand,Player Wins
20,5,0,stand,Dealer Wins
9,2,0,stand,Dealer Wins
15,3,0,stand,Dealer Wins
20,2,0,stand,Player Wins
7,10,0,stand,Dealer Wins
12,10,0,stand,Dealer Wins
12,6,0,stand,Dealer Wins
13,4,0,stand,Dealer Wins
20,6,0,stand,Player Wins
14,8,0,stand,Dealer Wins
20,7,0,stand,Player Wins
12,2,0,stand,Dealer Wins
7,6,0,stand,Dealer Wins
9,11,0,stand,Dealer Wins
8,8,0,stand,Dealer Wins
14,9,1,stand,Dealer Wins
19,10,0,stand,Dealer Wins
16,2,1,stand,Player Wins
13,6,0,stand,Player Wins
20,2,0,stand,Dealer Wins
11,6,0,stand,Player Wins
20,8,1,stand,Player Wins
19,10,0,stand,Player Wins
20,3,0,stand,Player Wins
15,8,0,stand,Dealer Wins
12,10,0,stand,Dealer Wins
10,6,0,stand,Dealer Wins
12,10,0,stand,Dealer Wins
21,3,1,stand,Player Wins
19,7,0,stand,Tie
14,11,0,stand,Dealer Wins
12,10,1,stand,Dealer Wins
17,11,0,stand,Tie
10,6,0,stand,Dealer Wins
8,10,0,stand,Dealer Wins
21,3,1,stand,Player Wins
15,10,0,stand,Dealer Wins
8,5,0,stand,Player Wins
9,10,0,stand,Dealer Wins
12,3,0,stand,Dealer Wins
6,4,0,stand,Dealer Wins
16,10,1,stand,Dealer Wins
21,2,1,stand,Player Wins
17,10,1,stand,Dealer Wins
13,10,0,stand,Player Wins
14,8,1,stand,Dealer Wins
12,11,0,stand,Dealer Wins
21,2,1,stand,Player Wins
6,10,0,stand,Dealer Wins
17,3,0,stand,Dealer Wins
10,10,0,stand,Dealer Wins
19,2,0,stand,Dealer Wins
10,11,0,stand,Dealer Wins
15,8,0,stand,Dealer Wins
11,10,0,stand,Dealer Wins
15,4,0,stand,Dealer Wins
16,6,1,stand,Dealer Wins
14,5,0,stand,Player Wins
18,2,0,stand,Dealer Wins
16,10,0,stand,Dealer Wins
21,6,1,stand,Player Wins
9,10,0,stand,Player Wins
17,4,0,stand,Player Wins
12,10,0,stand,Dealer Wins
18,10,0,stand,Player Wins
12,10,0,stand,Dealer Wins
17,5,0,stand,Player Wins
12,10,0,stand,Dealer Wins
17,10,1,stand,Dealer Wins
18,2,0,stand,Player Wins
13,8,0,stand,Dealer Wins
10,4,0,stand,Player Wins
13,10,1,stand,Dealer Wins
10,10,0,stand,Player Wins
16,8,0,stand,Dealer Wins
19,6,0,stand,Dealer Wins
12,10,0,stand,Dealer Wins
21,10,1,stand,Player Wins
9,4,0,stand,Dealer Wins
12,6,0,stand,Dealer Wins
12,10,0,stand,Dealer Wins
18,8,0,stand,Tie
20,10,0,stand,Tie
12,7,0,stand,Dealer Wins
5,9,0,stand,Dealer Wins
21,2,1,stand,Player Wins
5,9,0,stand,Dealer Wins
13,5,0,stand,Player Wins
18,3,0,stand,Dealer Wins
21,3,1,stand,Player Wins
14,10,0,stand,Dealer Wins
19,4,0,stand,Player Wins
13,5,0,stand,Dealer Wins
16,6,0,stand,Dealer Wins
18,10,0,stand,Player Wins
14,11,1,stand,Dealer Wins
21,10,1,stand,Player Wins
10,6,0,stand,Dealer Wins
20,10,0,stand,Dealer Wins
21,2,1,stand,Player Wins
20,2,0,stand,Dealer Wins
14,8,0,stand,Player Wins
13,10,0,stand,Dealer Wins
15,9,0,stand,Dealer Wins
15,10,0,stand,Dealer Wins
15,7,0,stand,Dealer Wins
9,10,0,stand,Dealer Wins
14,3,0,stand,Dealer Wins
19,10,0,stand,Player Wins
17,10,1,stand,Dealer Wins
8,6,0,stand,Dealer Wins
16,9,0,stand,Dealer Wins
17,10,0,stand,Dealer Wins
11,2,0,stand,Player Wins
20,4,0,stand,Player Wins
18,6,0,stand,Tie
10,11,0,stand,Player Wins
15,8,0,stand,Player Wins
17,10,0,stand,Tie
9,10,0,stand,Dealer Wins
5,2,0,stand,Dealer Wins
12,10,0,stand,Dealer Wins
18,10,0,stand,Dealer Wins
20,10,0,stand,Player Wins
15,6,0,stand,Player Wins
13,6,0,stand,Dealer Wins
13,5,0,stand,Player Wins
16,10,0,stand,Dealer Wins
14,10,0,stand,Dealer Wins
8,11,0,stand,Dealer Wins
12,2,0,stand,Dealer Wins
15,4,0,stand,Dealer Wins
18,10,1,stand,Dealer Wins
5,8,0,stand,Dealer Wins
12,6,0,stand,Dealer Wins
11,8,0,stand,Dealer Wins
15,10,0,stand,Dealer Wins
15,10,0,stand,Player Wins
19,10,0,stand,Player Wins
16,9,0,stand,Dealer Wins
16,5,0,stand,Player Wins
9,10,0,stand,Dealer Wins
12,4,0,stand,Dealer Wins
19,10,0,stand,Dealer Wins
11,6,0,stand,Player Wins
6,10,0,stand,Dealer Wins
7,10,0,stand,Dealer Wins
12,8,0,stand,Dealer Wins
16,10,1,stand,Dealer Wins
20,6,0,stand,Player Wins
14,10,0,stand,Player Wins
15,8,0,stand,Dealer Wins
7,10,0,stand,Dealer Wins
11,5,0,stand,Dealer Wins
13,7,0,stand,Dealer Wins
16,4,0,stand,Player Wins
20,10,0,stand,Tie
11,9,0,stand,Dealer Wins
20,7,0,stand,Player Wins
7,7,0,stand,Dealer Wins
18,8,0,stand,Tie
14,4,0,stand,Dealer Wins
14,10,0,stand,Dealer Wins
19,5,0,stand,Dealer Wins
20,6,0,stand,Player Wins
21,10,1,stand,Player Wins
21,8,1,stand,Player Wins
9,10,0,stand,Dealer Wins
10,10,0,stand,Dealer Wins
17,9,0,stand,Dealer Wins
13,5,0,stand,Player Wins
16,7,0,stand,Dealer Wins
6,10,0,stand,Dealer Wins
20,9,0,stand,Player Wins
13,8,0,stand,Player Wins
12,4,1,stand,Dealer Wins
13,10,0,stand,Dealer Wins
6,10,0,stand,Dealer Wins
13,8,1,stand,Dealer Wins
16,8,0,stand,Dealer Wins
12,11,0,stand,Dealer Wins
10,5,0,stand,Dealer Wins
6,5,0,stand,Dealer Wins
7,10,0,stand,Dealer Wins
12,11,0,stand,Player Wins
12,9,0,stand,Dealer Wins
17,2,0,stand,Dealer Wins
21,3,1,stand,Player Wins
13,9,1,stand,Dealer Wins
9,6,0,stand,Dealer Wins
14,11,0,stand,Dealer Wins
12,10,0,stand,Dealer Wins
11,10,0,stand,Dealer Wins
14,10,0,stand,Dealer Wins
14,8,1,stand,Dealer Wins
13,4,0,stand,Player Wins
15,2,0,stand,Dealer Wins
13,10,0,stand,Player Wins
9,10,0,stand,Player Wins
16,4,0,stand,Dealer Wins
13,3,0,stand,Player Wins
16,10,0,stand,Player Wins
21,10,1,stand,Player Wins
13,8,0,stand,Dealer Wins
12,10,0,stand,Dealer Wins
18,10,0,stand,Dealer Wins
20,2,0,stand,Player Wins
18,4,0,stand,Player Wins
9,4,0,stand,Dealer Wins
17,3,0,stand,Player Wins
19,5,0,stand,Player Wins
12,6,0,stand,Player Wins
14,10,1,stand,Player Wins
19,10,0,stand,Player Wins
9,3,0,stand,Player Wins
8,10,0,stand,Dealer Wins
21,4,1,stand,Tie
17,10,0,stand,Dealer Wins
15,3,0,stand,Dealer Wins
14,6,0,stand,Dealer Wins
20,3,0,stand,Player Wins
15,5,0,stand,Player Wins
18,10,0,stand,Tie
